title,star,quote,url
海蒂和爷爷?/?Heidi?/?飘零燕(港)  /  海蒂,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
猫鼠游戏?/?Catch Me If You Can?/?逍遥法外  /  捉智双雄(港),9.1,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
摔跤吧！爸爸?/?Dangal?/?我和我的冠军女儿(台)  /  打死不离3父女(港),9,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
天空之城?/?天空の城ラピュタ?/?天空之城拉普他  /  空中城堡拉普他,9.2,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
鬼子来了?/?Devils on the Doorstep,9.3,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
少年派的奇幻漂流?/?Life of Pi?/?少年Pi的奇幻漂流  /  漂流少年Pi,9.1,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
钢琴家?/?The Pianist?/?钢琴战曲(港)  /  战地琴人(台),9.3,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
指环王2：双塔奇兵?/?The Lord of the Rings: The Two Towers?/?魔戒二部曲：双城奇谋  /  指环王II：双塔,9.2,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
大话西游之月光宝盒?/?西遊記第壹佰零壹回之月光寶盒?/?西游记101回月光宝盒  /  齐天大圣东游记,9,旷古烁今。,https://movie.douban.com/subject/1299398/
闻香识女人?/?Scent of a Woman?/?女人香  /  女人的芳香,9.1,史上最美的探戈。,https://movie.douban.com/subject/1298624/
死亡诗社?/?Dead Poets Society?/?暴雨骄阳(港)  /  春风化雨(台),9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
绿皮书?/?Green Book?/?绿簿旅友(港)  /  幸福绿皮书(台),8.9,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
大闹天宫?/?大闹天宫 上下集  /  The Monkey King,9.4,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
罗马假日?/?Roman Holiday?/?金枝玉叶(港)  /  罗马假期(台),9.1,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
黑客帝国?/?The Matrix?/?22世纪杀人网络(港)  /  廿二世纪杀人网络(港),9.1,视觉革命。,https://movie.douban.com/subject/1291843/
指环王1：护戒使者?/?The Lord of the Rings: The Fellowship of the Ring?/?指环王1：魔戒再现  /  指环王I：护戒使者,9.1,传说的开始。,https://movie.douban.com/subject/1291571/
